country,iso_code,happiness_score
Norway,NOR,7.537000179
Denmark,DNK,7.521999836
Iceland,ISL,7.504000187
Switzerland,CHE,7.493999958
Finland,FIN,7.468999863
Netherlands,NLD,7.376999855
Canada,CAN,7.315999985
New Zealand,NZL,7.31400013
Sweden,SWE,7.28399992
Australia,AUS,7.28399992
Israel,ISR,7.212999821
Costa Rica,CRI,7.078999996
Austria,AUT,7.006000042
United States,USA,6.993000031
Ireland,IRL,6.977000237
Germany,DEU,6.951000214
Belgium,BEL,6.890999794
Luxembourg,LUX,6.862999916
United Kingdom,GBR,6.714000225
Chile,CHL,6.65199995
United Arab Emirates,ARE,6.647999763
Brazil,BRA,6.635000229
Czech Republic,CZE,6.609000206
Argentina,ARG,6.598999977
Mexico,MEX,6.578000069
Singapore,SGP,6.572000027
Malta,MLT,6.52699995
Uruguay,URY,6.453999996
Guatemala,GTM,6.453999996
Panama,PAN,6.452000141
France,FRA,6.441999912
Thailand,THA,6.423999786
Taiwan,TWN,6.421999931
Spain,ESP,6.402999878
Qatar,QAT,6.375
Colombia,COL,6.356999874
Saudi Arabia,SAU,6.343999863
Trinidad and Tobago,TTO,6.168000221
Kuwait,KWT,6.105000019
Slovakia,SVK,6.09800005
Bahrain,BHR,6.086999893
Malaysia,MYS,6.084000111
Nicaragua,NIC,6.071000099
Ecuador,ECU,6.007999897
El Salvador,SLV,6.002999783
Poland,POL,5.97300005
Uzbekistan,UZB,5.971000195
Italy,ITA,5.964000225
Russia,RUS,5.962999821
Belize,BLZ,5.955999851
Japan,JPN,5.920000076
Lithuania,LTU,5.90199995
Algeria,DZA,5.872000217
Latvia,LVA,5.849999905
South Korea,KOR,5.837999821
Moldova,MDA,5.837999821
Romania,ROU,5.824999809
Bolivia,BOL,5.822999954
Turkmenistan,TKM,5.822000027
Kazakhstan,KAZ,5.818999767
Cyprus,CYP,5.809999943
Slovenia,SVN,5.757999897
Peru,PER,5.715000153
Mauritius,MUS,5.629000187
Cyprus,CYP,5.620999813
Estonia,EST,5.611000061
Belarus,BLR,5.568999767
Libya,LBY,5.525000095
Turkey,TUR,5.5
Paraguay,PRY,5.493000031
China,CHN,5.472000122
Philippines,PHL,5.429999828
Serbia,SRB,5.394999981
Jordan,JOR,5.335999966
Hungary,HUN,5.323999882
Jamaica,JAM,5.31099987
Croatia,HRV,5.293000221
Kosovo,SRB,5.278999805
China,CHN,5.272999763
Pakistan,PAK,5.269000053
Indonesia,IDN,5.262000084
Venezuela,VEN,5.25
Montenegro,MNE,5.236999989
Morocco,MAR,5.235000134
Azerbaijan,AZE,5.234000206
Dominican Republic,DOM,5.230000019
Greece,GRC,5.227000237
Lebanon,LBN,5.224999905
Portugal,PRT,5.195000172
Bosnia and Herzegovina,BIH,5.18200016
Honduras,HND,5.181000233
Macedonia,MKD,5.175000191
Somalia,SOM,5.151000023
Vietnam,VNM,5.073999882
Nigeria,NGA,5.073999882
Tajikistan,TJK,5.040999889
Bhutan,BTN,5.011000156
Kyrgyzstan,KGZ,5.004000187
Nepal,NPL,4.961999893
Mongolia,MNG,4.954999924
South Africa,ZAF,4.828999996
Tunisia,TUN,4.804999828
Palestine,PSE,4.775000095
Egypt,EGY,4.735000134
Bulgaria,BGR,4.714000225
Sierra Leone,SLE,4.709000111
Cameroon,CMR,4.695000172
Iran,IRN,4.691999912
Albania,ALB,4.644000053
Bangladesh,BGD,4.607999802
Namibia,NAM,4.573999882
Kenya,KEN,4.552999973
Mozambique,MOZ,4.550000191
Myanmar,MMR,4.545000076
Senegal,SEN,4.534999847
Zambia,ZMB,4.513999939
Iraq,IRQ,4.497000217
Gabon,GAB,4.465000153
Ethiopia,ETH,4.460000038
Sri Lanka,LKA,4.440000057
Armenia,ARM,4.375999928
India,IND,4.315000057
Mauritania,MRT,4.291999817
Congo,COG,4.290999889
Georgia,GEO,4.285999775
Congo,COG,4.28000021
Mali,MLI,4.190000057
Cambodia,KHM,4.168000221
Sudan,SDN,4.138999939
Ghana,GHA,4.119999886
Ukraine,UKR,4.096000195
Uganda,UGA,4.080999851
Burkina Faso,BFA,4.032000065
Niger,NGA,4.027999878
Malawi,MWI,3.970000029
Chad,TCD,3.936000109
Zimbabwe,ZWE,3.875
Lesotho,LSO,3.808000088
Angola,AGO,3.795000076
Afghanistan,AFG,3.79399991
Botswana,BWA,3.766000032
Benin,BEN,3.657000065
Madagascar,MDG,3.644000053
Haiti,HTI,3.602999926
Yemen,YEM,3.592999935
South Sudan,SSD,3.59100008
Liberia,LBR,3.532999992
Guinea,GIN,3.506999969
Togo,TGO,3.494999886
Rwanda,RWA,3.470999956
Syria,SYR,3.461999893
Tanzania,TZA,3.348999977
Burundi,BDI,2.904999971
Central African Republic,CAF,2.693000078
