country_name,total_alcohol_consumption,unemployment
Afghanistan,0.21,5.579999924
Argentina,9.65,8.739999771
Australia,10.51,5.119999886
Austria,11.96,6.460000038
Azerbaijan,4.41,5.949999809
Belarus,11.45,3.900000095
Belgium,11.08,6.260000229
Belize,6.22,10.15999985
Bhutan,0.43,4.800000191
Bolivia,4.43,5.090000153
Bosnia and Herzegovina,7.15,14.89999962
Brazil,7.42,13.15999985
Brunei,0.48,4.909999847
Bulgaria,12.65,5.269999981
Canada,8.94,7.460000038
Chile,9.07,9.279999733
China,7.05,5.110000134
Colombia,5.74,13.89999962
Costa Rica,4.87,15.14000034
Croatia,9.23,7.610000134
Cyprus,10.81,7.510000229
Czechia,14.45,2.799999952
Denmark,10.26,5.059999943
Dominican Republic,6.68,7.699999809
Ecuador,4.2,4.5
El Salvador,3.89,4.329999924
Estonia,9.23,6.179999828
Ethiopia,2.36,3.930000067
Finland,10.78,7.610000134
France,12.33,7.860000134
Germany,12.91,3.569999933
Greece,10.18,14.65999985
Hungary,11.35,4.050000191
Iceland,9.12,5.989999771
Indonesia,0.57,3.829999924
Iraq,0.39,16.17000008
Ireland,12.88,6.190000057
Israel,4.21,4.960000038
Italy,7.84,9.5
Jamaica,4.22,8.350000381
Japan,7.96,2.799999952
Jordan,0.69,19.84000015
Kyrgyzstan,6.26,4.099999905
Latvia,12.77,7.510000229
Lithuania,13.22,7.110000134
Luxembourg,12.94,5.25
Malta,7.99,3.390000105
Mauritius,4.35,8.199999809
Mexico,5,4.090000153
Moldova,11.43,0.790000021
Mongolia,8.19,7.75
Netherlands,9.61,4.210000038
New Zealand,10.63,3.779999971
North Macedonia,6.16,15.77999973
Norway,7.41,4.369999886
Oman,0.78,1.899999976
Pakistan,0.34,6.340000153
Panama,7.98,10.28999996
Paraguay,7.58,7.309999943
Peru,6.38,5.099999905
Philippines,6.86,3.400000095
Poland,11.71,3.359999895
Portugal,12.03,6.579999924
Qatar,1.59,0.140000001
Romania,11.74,5.590000153
Russia,11.19,4.71999979
Rwanda,8.95,15.78999996
Saint Lucia,10.6,19.52000046
Saudi Arabia,0.19,6.619999886
Serbia,8.75,10.06000042
Singapore,2.03,3.539999962
Slovakia,11.14,6.889999866
Slovenia,11.9,4.739999771
South Africa,9.52,28.77000046
South Korea,9.7,3.640000105
Spain,12.72,14.77999973
Sweden,8.93,8.720000267
Switzerland,11.53,5.099999905
Thailand,8.3,1.210000038
Timor,2.17,2.339999914
Tonga,0.8,2.109999895
Trinidad and Tobago,6.72,4.449999809
Turkey,2.05,11.97000027
Uganda,15.09,12.27999973
Ukraine,8.32,9.829999924
United Arab Emirates,3.9,3.109999895
United States,9.87,5.349999905
Uruguay,6.92,9.289999962
Vietnam,8.66,2.380000114
Zambia,6.54,5.199999809
